"Question Number","Question","Answer 1(correct one)","Answer 2","Answer 3","Answer 4","FB2/image_path"
"181","Was verursacht das Wetter auf der Erde","Unterschiedliche Erwärmung der Erdoberfläche durch die Sonne aufgrund unterschiedlicher Oberflächenbeschaffenheit","Obwohl die Oberflächenbeschaffenheit der Erde unterschiedlich ist, erwärmt sich die Oberfläche fast gleich. Dadurch entstehen unterschiedliche Luftdruckzonen","Durch die Rotation der Erde entstehen unterschiedliche Luftdruckzonen","Unterschiedliches Verhalten auf die Gravitation des Mondes aufgrund unterschiedlicher Oberflächenbeschaffenheit",""
"182","In welcher Atmosphärenschicht spielt sich das Wetter ab","In der Troposphäre","In der Ionosphäre","In der Tropopause","In der Stratossphäre",""
"183","Wie wird in der Meteorologie die Anlaufstrecke des Windes für die Wellenbildung bezeichnet","Als Fetch","Als Seehergang","Als Ablaufraum","Als Anlaufraum",""
"184","Mit wieviel Beaufort rechnen Sie, wenn der Wetterbericht von einem Sturm spricht","Mit 9 Beaufort","Mit 3 Beaufort","Mit 12 Beaufort","Mit 6 Beaufort",""
"185","Welche Wolkenbildung kündigt typischer Weise eine Kaltfront an","Große Gewitterbewölkung häufig aus westlicher bis nordwestlicher Richtung, die meist den gesamten westlichen Horizont einnimmt","Langsamer Aufzug von Cirrusbewölkung in großer Höhe, die immer dichter und niedriger wird","Schneller Aufzug von Cirrusbewölkung aus östlicher Richtung, die immer dichter und höher wird","Bei sonst nahezu wolkenlosem Himmel baut sich über einer bestimmten Stelle eine hohe, dichte Gewitterwolke auf",""
"186","Welche Gefahren drohen bei einem Gewitter","Starker, böiger Wind oder sogar Sturm, BLitzschlaggefahr","Von einem Gewitter geht für eine moderne Jacht keine wesentliche Gefahr aus","Trotz starker Niederschläge wenig bis gar kein Wind, allerdings hohe Blitzschlaggefahr","Starker böiger Wind, keine Blitzschlaggefahr, da diese immer ins Wasser, nie in den Mast einschlagen",""
"187","Wie kann man unter anderem das Alter einer Zyklone in der Wetterkarte abschätzen","Je älter das Tief ist, desto weiter hat die Kaltfront die Warmfront eingeholt und es entsteht eine ausgeprägte Okklusionsfront","Das Alter einer Zyklone kann auf einer Wetterkarte nicht abgeschätzt werden","Je älter das Tief ist, desto weiter entfernt sich die Warmfront von der Kaltfront, eine eventuell bestehende Okklusionsfront löst sich auf","Je älter das Tief ist, desto schneller wird seine Zuggeschwindigkeit",""
"188","Wann ist die Gezeitenströmung am größten","Genau in der Mitte zwischen Hoch und Niedrigwasser","Gezeitenströmungen sind zu jeder Zeit etwa konstant","Genau zum Zeitpunkt des Niedrigwassers","Genau zum Zeitpunkt des Hochwassers",""
"189","Sind die Auswirkungen von Gezeiten weltweit gleich","Nein, aufgrund topographischer Eigenschaften können sich die Auswirkungen der Gezeiten in unterschiedlichen Regionen stark unterscheiden","Ja, die Auswirkungen der Gezeiten werden nur durch die Gravitation des Mondes beeinflusst und sind damit überall auf der Erde gleich","Ja, die Auswirkungen der Gezeiten sind in unterschiedlichen Gebieten nur unwesentlich verschieden","Nein, aufgrund meteorologischer Einflüsse sind die Auswirkungen der Gezeiten in unterschiedlichen Regionen nicht gleich",""
"190","Sie stehen mit dem Rücken zum Bodenwind. An welcher Seite befindet sich das Tiefdruckzentrum","Von meinem Standort aus gesehen links","Von meinem Standort aus gesehen rechts","Von meinem Standort aus gesehen vor mir","Von meinem Standort aus gesehen hinter mir",""
"191","Wovon hängt zu einem großen Teil die Überlebensdauer einer über Bord gegangenen Person ab","Von der Wassertemperatur, der Ausrüstung und dem Verhalten der verunglückten Person","Ausschließlich von der Wassertemperatur, das Verhalten der verunglückten Person spielt keine Rolle","Ausschließlich vom Verhalten der verunglückten Person, die Ausrüstung oder Kleidung spielt keine Rolle","Von der Lufttemperatur und ihren Schwimmkenntnissen",""
"192","Was ist lt KVR bei verminderter Sicht zu tun","Anpassen der Fahrtgeschwindigkeit, ein Crewmitglied für den ständigen Ausguck einteilen","Den für den Fahrtbereich 1 vorgeschriebenen AIS Empfänger einschalten","Das für den Fahrtbereich 1 vorgeschriebene Radargerät einschalten","Wenn die Jacht mit einem Kartenplotter ausgestattet ist, kann ganz normal weiter gefahren werden",""
"193","Müssen Sie an Bord befindliche Navigationssysteme wie RADAR und GPS auch benutzen","Ja, alle an Bord befindlichen Navigationssysteme sind zu jeder Zeit zu nutzen","Ja, allerdings sind Navigationssysteme, die nicht direkt zur Kollisionsvermeidung verwendet werden, nur bei eingeschränkter Sicht zu nutzen","Nein, welche Navigationssysteme genutzt werden entscheidet allein der Schiffsführer","Nur GPS-Kartenplotter müssen zu jeder Zeit genutzt werden, RADAR nur bei eingeschränkter Sicht",""
"194","Welches Ventil sollte immer geschlossen sein, wenn Sie die Gasanlage nicht benutzen","Das Absperrventil an der Gasflasche","Das Absperrventil am Gasherd","Das Seeventil der Maschine","Alle Ventile der Herdplatten",""
"195","Was ist eine Wacheinteilung","Die Einteilung der Crew in einen Zeitplan, damit alle wichtigen Positionen rund um die Uhr besetzt sind","Die Einteilung der Crew in einen Backsplan, damit immer genügend Verpflegung an Bord ist","Die Einteilung der Crew in einen Zeitplan, damit das Schiff im Hafen nicht unbewacht ist","Die Einteilung der Vorräte, damit die diensthabende Crew immer ausreichend versorgt ist",""
"196","Auf welchem Kanal darf eine Seenotmeldung abgesetzt werden","Auf jedem Kanal","Nur auf Kanal 10","Nur auf Kanal 70","Nur auf Kanal 16",""
"197","Es droht ein Sturm und Sie werden nicht mehr rechtzeitig einen Hafen erreichen. Was tun Sie unter anderem","Alle Luken und Seeventile schließen, Rettungswesten und Lifebelts anlegen","Sofort Treibanker ausbringen","Ohne weitere Maßnahmen wie geplant weiterfahren, Jachten sind dafür gebaut auch bei Sturm problemlos gesteuert werden zu können","Vorbereiten der Rettungsinsel",""
"198","Was führen Sie in Hinblick auf die Sicherheit durch, wenn ein neues Crewmitglied an Bord kommt","Unter anderem eine Sicherheitseinweisung","Erklären von Antrieb und Maschine","Einteilung des Crewmitgliedes in den Wachplan","Erklärung der Bordtoilette",""
"199","Was bereiten Sie vor, wenn Sie während der Fahrt Schlechtwetter erwarten","Unter anderem Strecktau ausbringen, Lifebelts und Schwimmwesten anlegen","Unter anderem Strecktau ausbringen, Lifebelt anlegen und Schwimmweste ablegen, damit diese die Bewegungsfreiheit nicht einschränkt","Unter anderem Strecktau ausbringen und Seeventile öffnen, damit eindringendes Wasser schneller abfließen kann","Unter anderem Strecktau wegen Stolpergefahr abbauen, Lifebelts und Schwimmwesten anlegen",""
"200","Welches Manöver sollte jedes Crewmitglied als Rudergänger geübt haben","Person über Bord","Leinen werfen","Anlegen unter Maschine","Ablegen unter Maschine",""
"201","Ist eine Einrumpf-Jacht unsinkbar","Nein, Einrumpf-Jachten sind in der Regel nicht unsinkbar","Nur, wenn die Jacht nicht kentert","Ja, Einrumpf-Jachten müssen immer unsinkbar ausgeführt sein","Nur, wenn die Jacht nicht leck schlägt",""
"202","Was ist eine besondere Gefahrenstelle für eine über Bord gegangene Person","Der Propeller","Der Freibord","Das Bugstrahlruder","Die Ruderanlage",""
"203","Was sollte die Sicherheitseinweisung unbedingt enthalten","Einweisung in die sachgemäße Verwendung von Rettungsweste und Sicherheitsleine","Einweisung in die sachgemäße Handhabung von Antrieb und Maschine","Einweisung in die sachgemäße Handhabung von Leinen und Fendern","Einweisung in die sachgemäße Handhabung der Bordtoilette",""
"204","Was ist eine Notpinne","Eine Pinne, die auf den Ruderquadranten gesteckt wird und die defekte Steueranlage ersetzt","Eine Notpinne ist ein anderer Ausdruck für die Rollenverteilung in Notfällen an Bord","Eine Pinne, mit der ein gebrochenes Ruderblatt ersetzt werden kann","Eine Pinne, mit der Notsignale abgegeben werden können",""
"205","Wie muss eine Rettungsweste beschaffen sein","Ohnmachtssicher, ausgestattet mit einem Nachtrettungslicht und einer Pfeife","Ohnmachtssicher, ausgestattet mit einer Pfeife und einer 20 Meter langen Sicherheitsleine","Ohnmachtssicher, ausgestattet mit einem Nachtrettungslicht und einer mindestens 20 Meter langen Leine","Ohnmachtssicher, ausgestattet mit einer PLB und einer 20 Meter langen Sicherheitsleine",""
"206","Was tun Sie, wenn Sie in der Bilge Ihres Schiffes ungewöhnlich viel Wasser feststellen","Lenzpumpen einschalten, mit Eimern oder Ähnlichem ausschöpfen","Die Frischwasserpumpe auf die Bilge umstellen und alle Wasserhähne öffnen","Die Lenzventile der Bilge öffnen","Vorerst nur mit der Handlenzpumpe lenzen, um Strom zu sparen",""
"207","Sind Sie als Schiffsführer zur Hilfeleistung bei einem Personenschaden verpflichtet","Ja, jeder Schiffsführer ist zur Hilfeleistung auf See verpflichtet","Nein, nur Schiffsführer der Berufsschifffahrt sind zur Hilfeleistung verpflichtet","Schiffsführer sind zur Hilfeleistung auf See nicht verpflichtet, es gehört aber zur guten Seemannschaft","Schiffsführer sind zur Hilfeleistung auf See nur verpflichtet, wenn Seenotsignale abgegeben wurden",""
"208","Wie schleppen Sie ein anderes Schiff im Hafen","Längsseits mit Leinen und Springs","Längsseits nur mit Leinen","Hintereinander mit einer möglichst kurzen Schleppleine","Hintereinander mit einer möglichst langen Schleppleine",""
"209","Welche Maßnahmen können Sie als Schiffsführer nach einer Kollision auf See veranlassen","Bergen der/des Verletzten","Hilfsmaßnahmen dürfen nur von der Berufsschifffahrt eingeleitet werden","Wenn möglich, die Fahrt wie geplant fortsetzen und im nächsten Hafen den Unfall melden","Den Unfallgegner verfolgen",""
"210","Was ist bei einer Bergung mittels Hubschrauber zu beachten","Anweisungen der Helfer befolgen, Heißdraht nicht an Bord belegen","Anweisungen der Helfer befolgen, Leinen und Drähte, die vom Hubschrauber kommen, an Bord belegen","Es muss der Hilfsmannschaft unbedingt genaue Anweisung gegeben werden, was zu tun ist","Es braucht kein besonderes Verhalten, die Helfer sind Profis und wissen, was zu tun ist",""
"211","Wann liegt ein Seenotfall vor","Bei unmittelbar drohender, ernsthafter und ohne fremder Hilfe unabwendbarer Gefahr für das Schiff oder dem Leben der Mannschaft","Immer, wenn fremde Hilfe in Anspruch genommen wird","Immer, wenn das Schiff nicht mehr manövrierfähig ist","Das Vorliegen eines Seenotfalles ist nicht definiert. Es wird im Nachhinein entschieden, ob tatsächlich ein Seenotfall vorlag",""
"212","Was kontrollieren Sie bei der Übernahme einer Rettungsinsel","Das Überprüfungsdatum","Die Ausrüstung der Rettungsinsel","Die Funktionstüchtigkeit der Rettungsinsel","Die Marke der Rettungsinsel",""
"213","Wie können Sie ein beschädigtes Seeventil abdichten","Mit einem Leckpfropfen","Während der Fahrt mit PU-Schaum","Während der Fahrt mit spezieller Abdichtspachtel","Das Seeventil einfach schließen",""
"214","Was tun Sie, wenn der Wetterbericht von 35-45 Knoten Wind spricht","Nicht mehr aus dem Hafen auslaufen","Auslaufen. 35 - 45 Knoten Wind stellen für moderne Jachten kein Problem dar","Mit ausgebrachtem Treibanker auslaufen","Rettungswesten und Lifebelt anlegen und auslaufen",""
"215","Welche Bauteile einer Jacht sind bei Grundberührung besonders gefährdet","Propeller, Ruderblatt","Trimmklappen, Seeventile","Bugstrahlruder, Loggegeber","Kiel, Echolotgeber",""
"216","Der Wetterbericht für Ihr Seegebiet spricht eine Warnung aus: Wind aus NE, 40 bis 50 Knoten, am Abend noch zunehmend. Was machen Sie","Für diesen Tag im Hafen bleiben","Ein Reff einbinden, die Crew richtig einweisen und auslaufen","Auslaufen! Endlich ein wenig Action","Da der Wetterbericht sowieso immer übertreibt - auslaufen!",""
"217","Eine Person ist über Bord gegangen. Wie verhalten Sie sich","Ruhe bewahren, Crew alarmieren, Rettungsmittel ausbringen, PoB-Manöver einleiten","Ruhe bewahren und die Position der über Bord gegangenen Person im nächsten Hafen dem Hafenkapitän melden","Ruhe bewahren und mit der Mannschaft genau das PoB-Manöver besprechen","Ruhe bewahren, Notruf absetzen und auf Hilfe warten",""
"218","Was ist eine EPIRB","Eine Seenotfunkboje, die ihre Alarmierung über Satellit tätigt","Die angezeigte Abweichung am Kartenplotter vom Soll-Kurs","Ein modernes Handfunksprechgerät","Die elektronische Peileinrichtung beim Radar",""
"219","Was ist die sichere Geschwindigkeit im Sinne der KVR","Jedes Fahrzeug muss mit einerGeschwindigkeit fahren, sodass es geeignete und wirksame Maßnahmen treffen kann, um einen Zusammenstoß zu vermeiden","Jedes Fahrzeug muss eine Geschwindigkeit wählen, bei der Kollisionen unwahrscheinlich sind","Jedes Fahrzeug muss den Sichtverhältnissen entsprechend eineGeschwindigkeit wählen, dass es rechtzeitig stehen bleiben kann","Jedes Fahrzeug muss eine Geschwindigkeit wählen, bei der es mit der Küste nicht kollidiert",""
"220","Was kontrollieren Sie unter anderem bei der Übernahme von Feuerlöschern","Das Überprüfungsdatum","Die Farbe","Die Herstellermarke","Das Ablaufdatum",""
"221","Wie bereiten Sie sich und Ihre Crew auf eine Nachtfahrt vor","Unter anderem Weisung, die Lifebelts anzulegen, Wacheinteilung der Crew, Planung der Route","Unter anderem der Crew die Lifebelts abnehmen und verwahren, damit im Notfall schneller darauf zugegriffen werden kann","Unter anderem Vorbereitung von Speisen, damit die schlafende Mannschaft während der Fahrt nicht durch Küchengeräusche geweckt wird","Unter anderem Öffnen der Seeventile für die Bordtoilette, damit in der Dunkelheit nicht danach gesucht werden muss",""
"222","Wie lautet das Seenotsignal am Seefunk","MAYDAY","SECURITE","PAN PAN","SOS",""
"223","Wie kann das über Bord gehen von Personen verhindert werden","Mit einer Sicherheitsleine (Lifebelt)","Mit einer Rettungsweste","Mit einer Bergeleine (Lifesling)","Das über Bord gehen kann nur durch sorgsames Verhalten an Bord verhindert werden",""
"224","Sie empfangen einen Notruf am Funk. Wie verhalten Sie sich","Aufnahme des Notrufes. Wenn ich in der Lage bin, Hilfe zu leisten, habe ich eine Bestätigung des Empfangs der Notmeldung zu senden","Ich nehme den Notruf auf und leite ihn an die Küstenfunkstelle weiter. Zu mehr bin ich als Schiffsführer einer Jacht nicht verpflichtet","Ich unternehme nichts, damit ich die professionellen Hilfsmannschaften nicht störe","Ich notiere den Notruf im Logbuch und teile das im nächsten Hafen dem Hafenkapitän mit",""
"225","Welches Manöver sollte von jedem Crewmitglied als Rudergänger geübt werden","Person über Bord","Anlegen unter Maschine","Leinen werfen","Ablegen unter Maschine",""
"226","Was kontrollieren Sie bei der Übernahme bei Seenothandfackeln","Das Ablaufdatum","Die DIN-Norm","Das Herstellungsdatum","Die Herstellermarke",""
"227","Was ist nach dem Ruf Person über Bord besonders wichtig","Ruhe bewahren, Sofortmaßnahmen einleiten, sich möglichst nicht vom Opfer entfernen","Rettungsmittel ausbringen und Information an die nächste Küstenfunkstelle","Sofort Notsignal absetzen und auf Hilfe warten","Ruhe bewahren, Kurs beibehalten und mit der Crew das Manöver besprechen",""
"228","Was führen Sie im Hinblick auf die Sicherheit durch, wenn ein neues Crewmitglied an Bord kommt","Unter anderem eine Sicherheitseinweisung","Erklären von Antrieb und Maschine","Einteilung des Crewmitgliedes in den Wachplan","Erklärung der Bordtoilette",""
"229","Muss eine Jacht für den Fahrtenbereich 1 lt Jachtzulassungsverordnung mit einer EPIRB ausgerüstet sein","Nein","Ja","Nur, wenn die Jacht über 12 Meter lang ist","Nur, wenn die Jacht für mehr als 12 Personen zugelassen ist",""
"230","Sind Sie als Schiffsführer zur Hilfeleistung auf See verpflichtet","Ja, jeder Schiffsführer ist zur Hilfeleistung auf See verpflichtet","Nein, nur Schiffsführer der Berufsschifffahrt sind zur Hilfeleistung verpflichtet","Schiffsführer sind zur Hilfeleistung auf See nur verpflichtet, wenn Seenotsignale abgegeben wurden","Schiffsführer sind zur Hilfeleistung auf See nicht verpflichtet, es gehört aber zur guten Seemannschaft",""
"231","Es droht Sturm und Sie werden nicht mehr rechtzeitig einen Schutzhafen erreichen. Was tun Sie unter anderem","Alle Luken und Seeventile schließen, Rettungswesten und Lifebelts anlegen","Sofort Treibanker ausbringen","Vorbereiten der Rettungsinsel","Ohne weitere Maßnahmen wie geplant weiterfahren, Jachten können auch bei Sturm problemlos gesteuert werden",""
"232","Welches Verhalten an Bord dient der aktiven Sicherheit","Tragen von Bordschuhen bei Arbeiten an Deck","Das sichere Belegen aller Klampen mit einem Palstek","Fender nach Gebrauch nur auf das Deck legen und weiter an der Reling befestigt lassen, damit sie im Bedarfsfall schneller verwendbar sind","Das Schließen aller Seeventile, vor allem des Ventils für den Kühlwassereinlass",""
"233","Mit welchem Gerät können Sie Navigations- und Wetterwarnungen empfangen","Mit dem für Fahrtbereich 1 Jachten vorgeschriebenen Rundfunkgerät","Mit einem für Fahrtbereich 1 Jachten vorgeschriebenen GMDSS Seefunkgerät","Mit einem für Fahrtbereich 1 Jachten vorgeschriebenen Satellitenempfänger","Mit dem für Fahrtbereich 1 Jachten vorgeschriebenen Navtex Gerät",""
"234","Was bedeutet der Begriff Lenzen vor Topp und Takel","mit geborgenen Segeln vor dem Wind ablaufen und Leinen zur Kursstabilisierung nachschleppen","Eine seemännische Arbeit, die das Aufdrüseln von Leinen verhindern soll","Ein leck geschlagenes Schiff wird mit allen zur Verfügung stehenden Mitteln gelenzt","Diesen Begriff gibt es in der Seefahrt nicht",""
"235","Mit welchen Seenotsignalen muss eine Jacht für den Fahrtbereich 1 lt Jachtzulassungsverordnung mindestens ausgerüstet sein","Mit einem Signalhorn und einer wasserdichten Signallampe","Mit mindestens drei Handfackeln","Mit mindestens 3 orangen Rauchtöpfen","Mit mindestens drei roten Fallschirmraketen",""
"236","Sie geraten in eine Legerwall-Situation und ihre Maschine springt nicht an. Was können Sie tun","Unter anderem versuchen ein Auflaufen mit dem Anker zu verhindern","Versuchen, mit dem Bootshaken ein Auflaufen zu verhindern","Auf einer Segeljacht, versuchen unter Segel aus dem Legerwall zu segeln","In einer Legerwall Situation kann man ohne Maschinenantrieb nichts mehr gegen das Auflaufen unternehmen",""
"237","Welche Bereiche der Jacht sind besonders brandgefährdet","Gasanlage, Pantry, Maschinenraum","Navigationsplatz, Bordtoilette","Ankerkasten, Steuerstand","Badeplattform, Backskiste",""
"238","Welche Sofortmaßnahmen treffen Sie bei einem Kabelbrand","Die Batterien abklemmen, Brand mit einer Löschdecke löschen","Die Batterien abklemmen, der Brand sollte dann schnell von selbst erlöschen","Die Batterien abklemmen, Brand mit viel Wasser löschen","Die Batterien abklemmen, Brand mit Feuerlöscher der Klasse C löschen",""
"239","Wann geben Sie Ihr Schiff auf","Wenn sicher ist, dass das Schiff nicht mehr zu retten ist","Wenn die Crew entscheidet, in die Rettungsinsel zu steigen","Sofort bei einem Wassereinbruch","Gar nicht, der Kapitän verlässt das sinkende Schiff nicht",""
"240","Auf welchem Kanal wird ein digitaler Seenotalarm ausgelöst","Auf dem UKW-Kanal 70","Auf dem UKW-Kanal 10","Auf dem UKW-Kanal 16","Auf dem UKW-Kanal 53",""
"241","Nach welchem Kriterium wird der Motorölwechsel beim Schiffsmotor meist gemacht","nach gelaufenen Motorstunden","nach Farbe des Motoröles","nach gefahrenen Seemeilen","nach verbrauchtem Motoröl",""
"242","Was versteht man unter ökonomischer Fahrt","Fahrt mit einer Motordrehzahl bei der man pro Liter Treibstoff die größte Distanz zurücklegt","Fahrt mit einer Motordrehzahl bei der man in der kürzesten Zeit zum Ziel kommt","Fahrt bei der man Strom und Wind ausnutzt um Treibstoff zu sparen","Fahrt bei der man den kürzesten Weg zum Ziel fährt",""
"243","Was ist ein Nachteil der direkten Kühlung","es können keine Frostschutzmittel verwendet werden","teurer in der Anschaffung","komplizierter Einbau","es müssen Frostschutzmittel verwendet werden",""
"244","Was sollte bei Grundberührung mit dem Außenbordmotor brechen","Scherstift","Motorstift","Schaft des Motors","Zahnradkupplung",""
"245","Was ist ein Nachteil des trockenen Auspuffsystemes bei Sportbooten","die heiße Auspuffleitung muss gut isoliert sein","die trockenen Auspuffleitungen zerfallen in kurzer Zeit","die heiße Auspuffleitung erhitzt den Motor zusätzlich","das Meeressalz setzt sich in den trockenen Leitungen fest",""
"246","Hat der Schiffsinnenborder einen Luftfilter","ja, es reinigt die angesaugte Luft bevor sie in den Motor kommt.","nein, durch die reine Luft am Meer erübrigt sich ein Luftfilter.","ja, es dient nur zum Fernhalten von Insekten","nein, die Luft strömt durch ein Ablagerungslabyrinth am Motorblock.",""
"247","Was bezeichnet man beim Schiffsmotor als „nassen Auspuff“","ein Auspuff bei dem die Auspuffgase mit Wasser gekühlt werden.","ein Auspuff bei dem auch flüssiger Treibstoff entweicht","ein Auspuff durch den das Kühlwasser eingesaugt wird","ein Auspuff der unter der Wasserlinie liegt",""
"248","Wie wirkt der Radeffekt bei einem Zwei-Schrauben-Schiff in der Regel","die Drehrichtungen der Schrauben sind gegenläufig, die Radeffekte heben sich auf","weil die Schrauben nicht in der Kielrichtung wirken kommt es zu keinem Radeffekt","der Radeffekt wird größer in Kurvenfahrt","der Radeffekt ist der Gleiche wie bei einer Wellenanlage mit einem Propeller",""
"249","Wie kann man Benzinmotoren erkennen","an den Zündkerzen","an der Einspritzpumpe","Benzinmotoren haben nur 6-stellige Motornummern","am Treibstoff: Benzin verdunstet nicht, Diesel sofort",""
"250","Warum führt Luft in der Dieselleitung oft zum Stillstand des Dieselmotors","weil die Luft die Komprimierung des Treibstoffes verhindert","weil die Luft die Rücklaufleitung blockiert","weil die Luft den Treibstofffilter durch Oxydationsprodukte verstopft","weil die Luft die Dieselpest verursacht",""
"251","Was ist eine indirekte Kühlung","Kühlung über Wärmetauscher","Kühlung durch Peltiersystem","Kühlung durch Zweistufengebläse","Kühlung durch Wassermantel über dem Schalldämpfer",""
"252","Wie kann ein Außenbordmotor entsalzt werden","man montiert den Außenbordmotor in einem Süßwasserfass und lässt ihn einige Zeit laufen","man nimmt den Motor aus dem Wasser und lässt ihn fünf Minuten ohne Wasserberührung laufen","man besprüht die Kühlkanäle während des Betriebes mit Kriechöl","man entlüftet die Kühlung und schüttet Süßwasser in die Entlüftungsschraube",""
"253","Wo wird die Sicherheitskordel (Notstop) des Aussenborders befestigt","am Handgelenk des Fahrers","am Handgelenk des Beifahrers","am Heck des Bootes","nirgends, sie hängt frei zur Betätigung im Notfall",""
"254","Welches Bauteil sorgt für den Kreislauf des Motoröls durch die Lager des Motors","eine Zahnradpumpe","eine Zahnstangenförderung","eine Ölfilterpumpe","eine vom Pleuel betriebene Pumpe",""
"255","Welchen Motorschaden kann Wasser im Motoröl anzeigen","Undichtigkeit zwischen Kühlkreislauf und Ölkreislauf","Undichtigkeit zwischen Wasserfilter und Ölfilter","Undichtigkeit zwischen Kühlkreislauf und Auspuffsystem","Undichtigkeit zwischen Öltank und Wassertank",""
"256","Welche Anschlussleitungen brauchen Treibstofftanks außer der Öffnung zum Tanken","Ansaugleitung, Rückflussleitung, Entlüftung","Absaugleitung, Gaszuleitung, Treibstoffausgleichsleitung","Zählerleitung, Motordruckausgleichsleitung, Treibstoffabsaugleitung","Gaszug, Pumpenleitung, Abflussleitung",""
"257","Warum soll man bei längeren Stehzeiten den Treibstofftank vollfüllen","damit feuchte Luft von außen weniger Kondenswasser im Tank bilden kann","damit zur Sicherheit immer volle Reserve vorhanden ist","damit im Falle von Feuer der Tank brennt und nicht das Schiff","damit das Schiff schwerer im Wasser liegt",""
"258","Warum ist Wasser im Benzin gefährlich","Das schwerere Wasser sammelt sich in der Schwimmerkammer im Vergaser und der Motor stirbt ab","Es ist ungefährlich, moderne Motoren verarbeiten Wasser mit etwas weißem Rauch.","Das Wasser bildet mit Benzin explosive Gase","Das Wasser bildet Rußbrücken über die Elektroden der Zündkerzen.",""
"259","Wie vermindern Sie die Explosionsgefahr der Gase im Motorraum bei Benzin-Innenbordmotoren","durch Zwangs-Luftabsaugung des Motorraumes","durch mindestens zwei Minuten Öffnen des Motorraumdeckels","durch Überbordhängen eines Kupferkabels","durch die Bilgepumpe, welche die in Luft absinkenden Benzindämpfe absaugt",""
"260","Warum gibt es im Motorraum von Schiffen automatische Feuerlöscher","weil bei einem Motorbrand die Motorraumabdeckung nicht geöffnet werden sollte","weil man bei händischem Löschen nicht an den Brandherd kommt","weil bei händischem Löschen zu hohe Verbrennungsgefahr besteht","weil die automatische Anlage den Nachbrand unter Kontrolle hält",""
"261","Wann deutet weißer Rauch im Auspuff einen Schaden im Motor an","wenn er vom Kühlwasser kommt","wenn er vom Motoröl kommt","wenn er vom Tau im Auspuff kommt","wenn er vom Luftfilter kommt",""
"262","Welchen Defekt kann blauer Rauch im Auspuff anzeigen","abgenützte Kolbenringe","abgenützte Ölpumpe","abgenütztes Getriebeöl","abgenützte Ölfilter",""
"263","Wozu dient ein Motorölfilter","es filtert kleine Metallspäne und andere Verunreinigungen aus","es filtert das Öl vor dem Eintritt in den Motorblock","bei einem Ölwechsel muss das neue Öl durch den Filter rinnen damit es wirksam wird","der Ölfilter ist ein Indikator. Ist das Öl verbraucht, verfärbt er sich",""
"264","Warum ist Benzin als Treibstoff gefährlicher als Diesel","weil Benzindampf ein explosionsfähiges Gemisch mit Luft erzeugt","weil Benzindampf ein explosionsfähiges Gemisch mit Salz erzeugt","weil Benzindampf ein explosionsfähiges Gemisch mit Wasser erzeugt","weil Benzindampf ein explosionsfähiges Gemisch mit Buthangas erzeugt",""
"265","Was lesen Sie an Bord üblicherweise an einem Manometer ab","den Druck des Motoröls","den Druck der Luft im Turbolader","den Druck im Wasserabscheider","den Druck des Kühlwassers im Wärmetauscher",""
"266","Wie oft sollten Sie die Opferanoden kontrollieren","mindestens 1x im Jahr","mindestens alle 6 Jahre","mindestens alle 3 Jahre","mindestens alle 5 Tage",""
"267","Wie nennt man Boote die ihre Rumpfgeschwindigkeit nicht wesentlich überschreiten","Verdränger","Gleiter","Segelboote","Breitrumpfer",""
"268","Der Motor wird zu heiß. Ursache könnte sein","Impeller defekt","Seewassertemperatur ist zu hoch","elektrisches Regelventil der Wasserpumpe ist ausgefallen","Wasserabscheider verstopft",""
"269","Beim Viertaktmotor ist welcher Takt der Arbeitstakt","der 3. Takt","beim Diesel der 2. Takt, beim Benzinmotor der 3. Takt","der 2. Takt","der 2. Und 4. Takt",""
"270","Warum kann ein Dieselmotor nach Abstellen weiterlaufen","die Kraftstoffpumpe wurde nicht auf Nullförderung gestellt","die Zündung wurde nicht unterbrochen","der Treibstoff im Treibstofffilter muss noch verbraucht werden","die Kühlung muss erst die Temperatur auf unter 60 Grad abbauen",""
"271","Was versteht man unter Fremdzündung","Zündung mittels Zündkerzen","Zündung durch Einspritzung in hoch komprimierte Luft","Explosion von brennbaren Flüssigkeiten","Zündung mittels Glühkerzen",""
"272","Was kann entstehen wenn der Luftfilter eines Dieselmotors verstopft ist","schwarzer Rauch im Auspuff","Dieselpest","Zylinderexplosion","blauer Rauch im Auspuff",""
"273","Warum müssen Sie den Keilriemen regelmäßig kontrollieren","ohne Keilriemen kann die Kühlung ausfallen","ohne Keilriemen kann die Schmierung ausfallen","ohne Keilriemen fällt die Zündung aus","ohne Keilriemen arbeitet die Bilgepumpe nicht",""
"274","Aus dem Auspuff tritt ständig schwarzer Rauch aus. Was kann das bedeuten","Luftfilter verschmutzt","zu geringer Öldruck","Wasser im Zylinder (Zylinderkopfdichtung defekt)","Motoröl wird verbrannt",""
"275","Wozu gibt es manchmal eine Handpumpe am Filtergehäuse des Treibstofffilters","zum Entlüften","zum Zurückpumpen","zum Auspumpen","zum manuellen Gas geben",""
"276","Was bewirkt Abnützung an den Schaufeln eines schnell drehenden Propellers","Kavitation","Saures Wasser","Elektrolyse","Plankton im Wasser",""
"277","Aus dem Auspuff tritt ständig blauer Rauch aus. Was kann das bedeuten","zu hoher Ölverbrauch","kein Kühlwasser im Auspuff","Motor bekommt zu wenig Luft","Zylinderkopfdichtung defekt",""
